no,light_num,crossway_num,center,lanes,max_spd,road_length,road_bt,school_num,stations,police_num,label
573,13,4,0,2.75,60,271.9534744,25,1,0,0,237
574,9,5,0,2,50,223.8880898,10.5,1,0,0,107
575,22,7,0,1.75,35,571.6177003,9.25,0,0,0,150
576,13,5,0,2.25,60,551.0637989,13.836,0,0,0,181
577,9,5,1,2.625,57.5,972.5239175,8.8,2,0,0,167
578,15,5,0,1.625,65,245.3342585,11.6,0,0,0,246
579,23,5,0,2.875,60,452.6651193,18,2,1,1,811
580,22,4,0,2.875,60,452.6651193,18,2,1,1,744
581,13,4,0,3.375,60,201.2052778,30,0,1,1,307
582,10,5,0,2.5,56.25,230.8532994,28,2,0,0,368
583,15,6,0,2.5,56.25,230.8532994,32,3,0,0,493
584,25,4,0,2.125,60,237.0139388,22.6666666,2,1,0,253
585,19,5,0,2.41666667,57.5,195.4970863,22.71125,1,1,2,528
586,17,2,1,2.5,52.5,234.0618115,16.75,0,1,0,517
587,12,5,0,1.5,60,345.923479,10.8333333,0,0,1,131
588,2,0,1,2.75,55,248.6427173,36.6666666,0,0,0,8
589,11,4,1,4,60,292.7601938,24.6666666,0,0,0,208
590,12,4,0,2,60,272.2972333,16.3333333,0,0,0,286
591,6,5,0,2,60,233.3113362,7.125,2,0,1,133
592,19,6,0,1.4,54,584.9751916,6.88888889,1,0,1,309
593,11,2,0,3.4,48,267.2405669,32.5,0,1,0,654
594,13,6,1,2,60,183.0123999,16.4285714,0,1,1,328
595,7,0,0,3.4,48,267.2405669,32.5,0,1,0,613
596,5,0,1,2.85714286,64.28571429,239.8289585,25,0,0,0,248
597,12,5,0,1.625,60,171.0104332,14.5,0,0,0,231
598,22,3,0,2.75,30,356.2907423,22,0,0,0,476
599,8,2,1,4.125,60,249.4211888,40,0,1,0,1013
600,13,4,0,2.125,50,587.5769394,9.33333333,0,0,0,310
601,1,4,0,1.8,42,242.7123686,14.25,3,0,0,18
602,7,1,1,2.375,51.875,477.4097887,19.3333333,0,0,0,44
603,13,3,0,2.33333333,60,526.6892037,9.2,2,0,0,182
604,32,7,0,2.45454545,60,145.9278864,13.6,0,0,0,468
605,27,5,0,2.84615385,51.53846154,74.15722409,26.6,0,1,0,902
606,10,5,0,2.5,53.33333333,340.8232359,16.2222222,3,0,0,157
607,7,3,0,2.75,60,121.0587551,21.3333333,0,0,0,722
608,14,6,0,1.625,50,285.7092433,13,0,0,0,206
609,22,4,1,2.375,52.5,191.9148977,30,1,0,0,407
610,19,4,1,4.5,52.5,246.0256269,41.6666666,0,1,0,1172
611,19,4,1,4.5,52.5,246.0256269,41.6666666,0,1,0,1175
612,3,0,0,2.11111111,53.33333333,339.2196659,30.3333333,0,0,0,6
613,21,7,1,2.71428571,60,142.1093697,25,0,1,0,255
614,17,6,0,2,47.5,300.7170585,9.5,1,0,0,178
615,15,8,0,1.625,47.5,329.0237739,20,0,0,0,104
616,18,4,1,2.4,60,301.1688215,20.5,0,1,0,624
617,23,9,0,1.95,46,110.9886158,13,0,0,0,217
618,23,6,1,2.33333333,50,201.0458419,15.5,0,1,0,396
619,13,5,0,2,45,381.105811,20,2,0,1,77
620,0,1,0,2.33333333,60,188.9009872,11.4,3,1,0,21
621,14,6,0,1.625,45,234.732947,9.66666667,2,0,1,220
622,13,4,0,2,52.5,83.28708044,13.5,3,1,0,339
623,13,3,0,1.75,55,219.7179292,18.25,0,1,0,258
624,3,0,0,4.5,60,214.407824,37,0,1,0,496
625,13,4,0,2.5,45,327.9570837,25,1,0,1,190
626,19,6,0,4,60,183.4660317,30,0,0,0,754
627,21,5,0,2.625,60,223.1293411,16.75,0,1,0,750
628,22,4,0,2.16666667,56.66666667,279.7199892,23.6666666,0,1,0,275
629,13,4,0,1.75,47.5,310.9179359,22.5,2,0,0,172
630,12,5,0,1.5,35,266.9266957,18,4,0,1,163
631,17,5,0,1.75,50,455.6278948,9,0,0,0,240
632,9,1,0,1.83333333,30,353.5660591,14.25,1,0,0,117
633,10,3,0,4,60,186.7521495,30,1,0,0,215
634,16,4,0,3.5,60,258.5714378,30,0,0,1,716
635,25,12,0,1.82608696,43.91304348,219.2684471,18,1,0,0,285
636,13,6,0,1.75,45,349.9935206,18.5,1,1,1,149
637,13,6,0,2.5,52.85714286,177.588369,16,1,0,1,1018
638,17,4,0,1.75,50,217.4237005,13,0,0,0,163
639,19,6,1,3.68965517,53.79310345,79.25610881,26.5,3,0,0,623
640,14,4,0,3.25,60,146.4190582,35,0,1,1,619
641,27,9,0,2.21428571,47.14285714,76.80802842,30,1,0,0,557
642,27,7,1,3.68965517,53.79310345,79.25610881,23,3,0,0,755
643,19,9,0,2.25,52.5,365.4566887,18.6,1,0,0,476
644,20,4,0,4.375,60,140.7052592,40,1,0,0,686
645,26,3,0,2.5,60,244.7034328,29.3333333,0,0,0,640
646,5,4,0,2.66666667,60,146.9812856,11.5,0,1,0,48
647,5,4,0,2.05,51.5,216.9183284,21,0,1,0,173
648,14,2,1,3.5,58.33333333,207.4189404,13.25,0,0,1,692
649,12,7,0,2.05,51.5,216.9183284,18.5,0,0,0,387
650,0,2,2,2.33333333,56.66666667,360.0743951,25,0,0,0,24
651,20,3,0,3,60,513.627804,32.5,0,1,0,732
652,21,4,0,4.375,60,124.1833178,35,3,0,1,734
653,24,8,0,4.75,60,183.4773594,45,1,0,0,627
654,10,5,0,3.4,60,275.8320517,43.6666666,0,1,0,435
655,18,5,0,2.25,37.5,292.0551838,16.6666666,3,0,0,405
656,11,4,0,1.25,45,502.8969205,8.6,1,0,1,180
657,9,2,0,2.25,45,496.9468213,8.66666667,0,0,0,203
658,11,4,0,2.11111111,60,408.4513575,19.3333333,2,0,1,234
659,10,4,0,2.5,52.5,368.5793288,22.6666666,1,0,0,228
660,0,0,1,2.4,56,516.9434247,45,1,0,0,6
661,19,5,2,2.33333333,56.66666667,445.4297025,18.3333333,0,1,0,376
662,30,4,0,3.75,60,173.4956489,40,0,0,1,561
663,14,4,1,1.9,62,253.6530009,26,0,1,1,108
664,28,4,0,2.5,50,238.472401,18,1,0,0,188
665,0,0,1,3.33333333,66.66666667,384.8462117,43.3333333,0,0,0,26
666,20,4,0,2.5,55,339.0956947,12,2,0,0,386
667,20,4,0,2.5,55,339.0956947,11,2,0,0,386
668,10,6,0,2.60869565,54.34782609,145.3142985,30,0,0,0,456
669,1,0,0,2.92857143,58.57142857,484.7280595,35,2,1,0,32
670,12,4,0,1.75,40,399.0005969,11.8333333,1,0,0,167
671,9,1,0,2.92857143,58.57142857,484.7280595,33.3333333,2,1,0,153
672,14,3,0,2.33333333,30,86.7437611,33,0,1,0,48
673,4,3,0,2.8,54,554.2970757,13.75,2,1,0,116
674,7,4,0,2.60869565,54.34782609,145.3142985,30,0,0,0,238
675,7,5,0,3.5,53.33333333,171.6124085,19.3333333,1,1,0,262
676,5,4,0,3.5,53.33333333,171.6124085,22.4,1,1,0,264
677,23,6,2,4.625,60,145.5952733,40,0,1,0,866
678,6,1,0,4.5,66.66666667,154.5278969,35,0,0,0,237
679,0,2,0,2.2,54,219.3773963,17,0,1,0,58
